total_assets,total_liabilities,total_equity,revenue,operating_income,net_income,종목코드,회사명,시장구분,연도,fs_div
73299254939,31099388126,42199866813,27589913370,2639839721,2874171645,347000,센코,KOSDAQ,2021,CFS
76783952864,33207786038,43576166826,40803201331,2757333155,848454790,347000,센코,KOSDAQ,2022,CFS
69624568954,27595872033,42028696921,33952242199,2245775452,-1161720602,347000,센코,KOSDAQ,2023,CFS
67017008333,24482719170,42534289163,35862109477,2718008245,2529398796,347000,센코,KOSDAQ,2024,CFS
71324160320,13538294485,57785865835,36725295188,2504690284,4715209101,347000,센코,KOSDAQ,2025,CFS
